codigo_ibge;nome;sigla_uf;latitude;longitude
5200050;Abadia de Goiás;GO;-16.757300;-49.441200
3100104;Abadia dos Dourados;MG;-18.483100;-47.391600
5200100;Abadiânia;GO;-16.197000;-48.705700
3100203;Abaeté;MG;-19.155100;-45.444400
1500107;Abaetetuba;PA;-1.721830;-48.878800
2300101;Abaiara;CE;-7.345880;-39.041600
2900108;Abaíra;BA;-13.248800;-41.661900
2900207;Abaré;BA;-8.720730;-39.116200
4100103;Abatiá;PR;-23.304900;-50.313300
4200051;Abdon Batista;SC;-27.612600;-51.023300
1500131;Abel Figueiredo;PA;-4.953330;-48.393300
4200101;Abelardo Luz;SC;-26.571600;-52.322900
3100302;Abre Campo;MG;-20.299600;-42.474300
2600054;Abreu e Lima;PE;-7.900720;-34.898400
1700251;Abreulândia;TO;-9.621010;-49.151800
3100401;Acaiaca;MG;-20.359000;-43.143900
2100055;Açailândia;MA;-4.947140;-47.500400
2900306;Acajutiba;BA;-11.657500;-38.019700
1500206;Acará;PA;-1.953830;-48.198500
2300150;Acarape;CE;-4.220830;-38.705500
2300200;Acaraú;CE;-2.887690;-40.118300
2400109;Acari;RN;-6.428200;-36.634700
2200053;Acauã;PI;-8.219540;-41.083100
4300034;Aceguá;RS;-31.866500;-54.161500
2300309;Acopiara;CE;-6.089110;-39.448000
5100102;Acorizal;MT;-15.194000;-56.363200
1200013;Acrelândia;AC;-9.825810;-66.897200
5200134;Acreúna;GO;-17.396000;-50.374900
2400208;Açu;RN;-5.583620;-36.914000
3100500;Açucena;MG;-19.067100;-42.541900
3500105;Adamantina;SP;-21.682000;-51.073700
5200159;Adelândia;GO;-16.412700;-50.165700
3500204;Adolfo;SP;-21.232500;-49.645100
4100202;Adrianópolis;PR;-24.660600;-48.992200
2900355;Adustina;BA;-10.543700;-38.111300
2600104;Afogados da Ingazeira;PE;-7.743120;-37.631000
2400307;Afonso Bezerra;RN;-5.492290;-36.507500
3200102;Afonso Cláudio;ES;-20.077800;-41.126100
2100105;Afonso Cunha;MA;-4.136310;-43.327500
2600203;Afrânio;PE;-8.511360;-41.009500
1500305;Afuá;PA;-0.154874;-50.386100
2600302;Agrestina;PE;-8.459660;-35.944700
2200103;Agricolândia;PI;-5.796760;-42.666400
4200200;Agrolândia;SC;-27.408700;-49.822000
4200309;Agronômica;SC;-27.266200;-49.708000
1500347;Água Azul do Norte;PA;-6.790530;-50.479100
3100609;Água Boa;MG;-17.991400;-42.380600
5100201;Água Boa;MT;-14.051000;-52.160100
2200202;Água Branca;PI;-5.888560;-42.637000
2500106;Água Branca;PB;-7.511440;-37.635700
2700102;Água Branca;AL;-9.262000;-37.938000
5000203;Água Clara;MS;-20.445200;-52.879000
3100708;Água Comprida;MG;-20.057600;-48.106900
4200408;Água Doce;SC;-26.998500;-51.552800
2100154;Água Doce do Maranhão;MA;-2.840480;-42.118900
3200169;Água Doce do Norte;ES;-18.548200;-40.985400
2900405;Água Fria;BA;-11.861800;-38.763900
5200175;Água Fria de Goiás;GO;-14.977800;-47.782300
5200209;Água Limpa;GO;-18.077100;-48.760300
2400406;Água Nova;RN;-6.203510;-38.294100
2600401;Água Preta;PE;-8.706090;-35.526300
4300059;Água Santa;RS;-28.167200;-52.031000
3500303;Aguaí;SP;-22.057200;-46.973500
3100807;Aguanil;MG;-20.943900;-45.391500
2600500;Águas Belas;PE;-9.111250;-37.122600
3500402;Águas da Prata;SP;-21.931900;-46.717600
4200507;Águas de Chapecó;SC;-27.075400;-52.980800
3500501;Águas de Lindóia;SP;-22.473300;-46.631400
3500550;Águas de Santa Bárbara;SP;-22.881200;-49.242100
3500600;Águas de São Pedro;SP;-22.597700;-47.873400
3100906;Águas Formosas;MG;-17.080200;-40.938400
4200556;Águas Frias;SC;-26.879400;-52.856800
5200258;Águas Lindas de Goiás;GO;-15.761700;-48.281600
4200606;Águas Mornas;SC;-27.696300;-48.824300
3101003;Águas Vermelhas;MG;-15.743100;-41.457100
4300109;Agudo;RS;-29.644700;-53.251500
3500709;Agudos;SP;-22.469400;-48.986300
4100301;Agudos do Sul;PR;-25.989900;-49.334300
3200136;Águia Branca;ES;-18.984600;-40.743700
2500205;Aguiar;PB;-7.091800;-38.168100
1700301;Aguiarnópolis;TO;-6.554090;-47.470200
3101102;Aimorés;MG;-19.500700;-41.074600
2900603;Aiquara;BA;-14.126900;-39.893700
2300408;Aiuaba;CE;-6.571220;-40.117800
3101201;Aiuruoca;MG;-21.973600;-44.604200
4300208;Ajuricaba;RS;-28.234200;-53.775700
3101300;Alagoa;MG;-22.171000;-44.641300
2500304;Alagoa Grande;PB;-7.039430;-35.620600
2500403;Alagoa Nova;PB;-7.053770;-35.759100
2500502;Alagoinha;PB;-6.946570;-35.533200
2600609;Alagoinha;PE;-8.466500;-36.778800
2200251;Alagoinha do Piauí;PI;-7.000390;-40.928200
2900702;Alagoinhas;BA;-12.133500;-38.420800
3500758;Alambari;SP;-23.550300;-47.898000
3101409;Albertina;MG;-22.201800;-46.613900
2100204;Alcântara;MA;-2.395740;-44.406200
2300507;Alcântaras;CE;-3.585370;-40.547900
2500536;Alcantil;PB;-7.736680;-36.051100
5000252;Alcinópolis;MS;-18.325500;-53.704200
2900801;Alcobaça;BA;-17.519500;-39.203600
2100303;Aldeias Altas;MA;-4.626210;-43.468900
4300307;Alecrim;RS;-27.657900;-54.764900
3200201;Alegre;ES;-20.758000;-41.538200
4300406;Alegrete;RS;-29.790200;-55.794900
2200277;Alegrete do Piauí;PI;-7.241960;-40.856600
4300455;Alegria;RS;-27.834500;-54.055700
3101508;Além Paraíba;MG;-21.879700;-42.717600
1500404;Alenquer;PA;-1.946230;-54.738400
2400505;Alexandria;RN;-6.405330;-38.014200
5200308;Alexânia;GO;-16.083400;-48.507600
3101607;Alfenas;MG;-21.425600;-45.947700
3200300;Alfredo Chaves;ES;-20.639600;-40.754300
3500808;Alfredo Marcondes;SP;-21.952700;-51.414000
3101631;Alfredo Vasconcelos;MG;-21.153500;-43.771800
4200705;Alfredo Wagner;SC;-27.700100;-49.327300
2500577;Algodão de Jandaíra;PB;-6.892920;-36.012900
2500601;Alhandra;PB;-7.429770;-34.905700
2600708;Aliança;PE;-7.603980;-35.222700
1700350;Aliança do Tocantins;TO;-11.305600;-48.936100
2900900;Almadina;BA;-14.708900;-39.641500
1700400;Almas;TO;-11.570600;-47.179200
1500503;Almeirim;PA;-1.529040;-52.578800
3101706;Almenara;MG;-16.178500;-40.694200
2400604;Almino Afonso;RN;-6.147500;-37.763600
4100400;Almirante Tamandaré;PR;-25.318800;-49.303700
4300471;Almirante Tamandaré do Sul;RS;-28.114900;-52.914200
5200506;Aloândia;GO;-17.729200;-49.476900
3101805;Alpercata;MG;-18.974000;-41.970000
4300505;Alpestre;RS;-27.250200;-53.034100
3101904;Alpinópolis;MG;-20.863100;-46.387800
5100250;Alta Floresta;MT;-9.866740;-56.086700
1100015;Alta Floresta D'Oeste;RO;-11.928300;-61.995300
3500907;Altair;SP;-20.524200;-49.057100
1500602;Altamira;PA;-3.204070;-52.210000
2100402;Altamira do Maranhão;MA;-4.165980;-45.470600
4100459;Altamira do Paraná;PR;-24.798300;-52.712800
2300606;Altaneira;CE;-6.998370;-39.735600
3102001;Alterosa;MG;-21.248800;-46.138700
2600807;Altinho;PE;-8.484820;-36.064400
3501004;Altinópolis;SP;-21.021400;-47.371200
3501103;Alto Alegre;SP;-21.581100;-50.168000
1400050;Alto Alegre;RR;2.988580;-61.307200
4300554;Alto Alegre;RS;-28.776900;-52.989300
2100436;Alto Alegre do Maranhão;MA;-4.213000;-44.446000
2100477;Alto Alegre do Pindaré;MA;-3.666890;-45.842100
1100379;Alto Alegre dos Parecis;RO;-12.132000;-61.835000
5100300;Alto Araguaia;MT;-17.315300;-53.218100
4200754;Alto Bela Vista;SC;-27.433300;-51.904400
5100359;Alto Boa Vista;MT;-11.673200;-51.388300
3102050;Alto Caparaó;MG;-20.431000;-41.873800
2400703;Alto do Rodrigues;RN;-5.281860;-36.750000
4300570;Alto Feliz;RS;-29.391900;-51.312300
5100409;Alto Garças;MT;-16.946200;-53.527200
5200555;Alto Horizonte;GO;-14.197800;-49.337800
3153509;Alto Jequitibá;MG;-20.420800;-41.967000
2200301;Alto Longá;PI;-5.256340;-42.209600
5100508;Alto Paraguai;MT;-14.513700;-56.477600
4128625;Alto Paraíso;PR;-26.114600;-52.746900
1100403;Alto Paraíso;RO;-9.714290;-63.318800
5200605;Alto Paraíso de Goiás;GO;-14.130500;-47.510000
4100608;Alto Paraná;PR;-23.131200;-52.318900
2100501;Alto Parnaíba;MA;-9.102730;-45.930300
4100707;Alto Piquiri;PR;-24.022400;-53.440000
3102100;Alto Rio Doce;MG;-21.028100;-43.406700
3200359;Alto Rio Novo;ES;-19.061800;-41.020900
2300705;Alto Santo;CE;-5.508940;-38.274300
5100607;Alto Taquari;MT;-17.824100;-53.279200
4100509;Altônia;PR;-23.875900;-53.895800
2200400;Altos;PI;-5.038880;-42.461200
3501152;Alumínio;SP;-23.530600;-47.254600
1300029;Alvarães;AM;-3.227270;-64.800700
3102209;Alvarenga;MG;-19.417400;-41.731700
3501202;Álvares Florence;SP;-20.320300;-49.914100
3501301;Álvares Machado;SP;-22.076400;-51.472200
3501400;Álvaro de Carvalho;SP;-22.084100;-49.719000
3501509;Alvinlândia;SP;-22.443500;-49.762300
3102308;Alvinópolis;MG;-20.109800;-43.053500
1700707;Alvorada;TO;-12.478500;-49.124900
4300604;Alvorada;RS;-29.991400;-51.080900
1100346;Alvorada D'Oeste;RO;-11.346300;-62.284700
3102407;Alvorada de Minas;MG;-18.733400;-43.363800
2200459;Alvorada do Gurguéia;PI;-8.424180;-43.777000
5200803;Alvorada do Norte;GO;-14.479700;-46.491000
4100806;Alvorada do Sul;PR;-22.781300;-51.229700
1400027;Amajari;RR;3.645710;-61.369200
5000609;Amambai;MS;-23.105800;-55.225300
1600105;Amapá;AP;2.052670;-50.795700
2100550;Amapá do Maranhão;MA;-1.675240;-46.002400
4100905;Amaporã;PR;-23.094300;-52.786600
2600906;Amaraji;PE;-8.376910;-35.450100
4300638;Amaral Ferrador;RS;-30.875600;-52.250900
5200829;Amaralina;GO;-13.923600;-49.296200
2200509;Amarante;PI;-6.243040;-42.843300
2100600;Amarante do Maranhão;MA;-5.569130;-46.747300
2901007;Amargosa;BA;-13.021500;-39.602000
1300060;Amaturá;AM;-3.374550;-68.200500
2901106;Amélia Rodrigues;BA;-12.391400;-38.756300
2901155;América Dourada;BA;-11.442900;-41.439000
3501608;Americana;SP;-22.737400;-47.333100
5200852;Americano do Brasil;GO;-16.251400;-49.983100
3501707;Américo Brasiliense;SP;-21.728800;-48.114700
3501806;Américo de Campos;SP;-20.298500;-49.735900
4300646;Ametista do Sul;RS;-27.360700;-53.183000
2300754;Amontada;CE;-3.360170;-39.828800
5200902;Amorinópolis;GO;-16.615100;-51.091900
2500734;Amparo;PB;-7.555020;-37.062800
3501905;Amparo;SP;-22.708800;-46.772000
2800100;Amparo de São Francisco;SE;-10.134800;-36.935000
3102506;Amparo do Serra;MG;-20.505100;-42.800900
4101002;Ampére;PR;-25.916800;-53.468600
2700201;Anadia;AL;-9.684890;-36.307800
2901205;Anagé;BA;-14.615100;-41.135600
4101051;Anahy;PR;-24.644900;-53.133200
1500701;Anajás;PA;-0.996811;-49.935400
2100709;Anajatuba;MA;-3.262690;-44.612600
3502002;Analândia;SP;-22.128900;-47.661900
1300086;Anamã;AM;-3.566970;-61.396300
1701002;Ananás;TO;-6.364370;-48.073500
1500800;Ananindeua;PA;-1.363910;-48.374300
5201108;Anápolis;GO;-16.328100;-48.953000
1500859;Anapu;PA;-3.469850;-51.200300
2100808;Anapurus;MA;-3.675770;-43.101400
5000708;Anastácio;MS;-20.482300;-55.810400
5000807;Anaurilândia;MS;-22.185200;-52.719100
4200804;Anchieta;SC;-26.538200;-53.331900
3200409;Anchieta;ES;-20.795500;-40.642500
2901304;Andaraí;BA;-12.804900;-41.329700
4101101;Andirá;PR;-23.053300;-50.230400
2901353;Andorinha;BA;-10.348200;-39.839100
3102605;Andradas;MG;-22.069500;-46.572400
3502101;Andradina;SP;-20.894800;-51.378600
4300661;André da Rocha;RS;-28.628300;-51.579700
3102803;Andrelândia;MG;-21.741100;-44.311700
3502200;Angatuba;SP;-23.491700;-48.413900
3102852;Angelândia;MG;-17.727900;-42.264100
5000856;Angélica;MS;-22.152700;-53.770800
2601003;Angelim;PE;-8.884290;-36.290200
4200903;Angelina;SC;-27.570400;-48.987900
2901403;Angical;BA;-12.006300;-44.700300
2200608;Angical do Piauí;PI;-6.087860;-42.740000
1701051;Angico;TO;-6.391790;-47.861100
2400802;Angicos;RN;-5.657920;-36.609400
3300100;Angra dos Reis;RJ;-23.001100;-44.319600
2901502;Anguera;BA;-12.146200;-39.246200
4101150;Ângulo;PR;-23.194600;-51.915400
5201207;Anhanguera;GO;-18.333900;-48.220400
3502309;Anhembi;SP;-22.793000;-48.133600
3502408;Anhumas;SP;-22.293400;-51.389500
5201306;Anicuns;GO;-16.464200;-49.961700
2200707;Anísio de Abreu;PI;-9.185640;-43.049400
4201000;Anita Garibaldi;SC;-27.689700;-51.127100
4201109;Anitápolis;SC;-27.901200;-49.131600
1300102;Anori;AM;-3.746030;-61.657500
4300703;Anta Gorda;RS;-28.969800;-52.010200
2901601;Antas;BA;-10.385600;-38.340100
4101200;Antonina;PR;-25.438600;-48.719100
2300804;Antonina do Norte;CE;-6.769190;-39.987000
2200806;Antônio Almeida;PI;-7.212760;-44.188900
2901700;Antônio Cardoso;BA;-12.433500;-39.117600
4201208;Antônio Carlos;SC;-27.519100;-48.766000
3102902;Antônio Carlos;MG;-21.321000;-43.745100
3103009;Antônio Dias;MG;-19.649100;-42.873200
2901809;Antônio Gonçalves;BA;-10.576700;-40.278500
5000906;Antônio João;MS;-22.192700;-55.951700
2400901;Antônio Martins;RN;-6.213670;-37.883400
4101309;Antônio Olinto;PR;-25.980400;-50.197200
4300802;Antônio Prado;RS;-28.856500;-51.288300
3103108;Antônio Prado de Minas;MG;-21.019200;-42.110900
2500775;Aparecida;PB;-6.784660;-38.080300
3502507;Aparecida;SP;-22.849500;-45.232500
3502606;Aparecida d'Oeste;SP;-20.448700;-50.883500
5201405;Aparecida de Goiânia;GO;-16.819800;-49.246900
5201454;Aparecida do Rio Doce;GO;-18.294100;-51.151600
1701101;Aparecida do Rio Negro;TO;-9.941390;-47.963800
5001003;Aparecida do Taboado;MS;-20.087300;-51.096100
3300159;Aperibé;RJ;-21.625200;-42.101700
3200508;Apiacá;ES;-21.152300;-41.569300
5100805;Apiacás;MT;-9.539810;-57.458700
3502705;Apiaí;SP;-24.510800;-48.844300
2100832;Apicum-Açu;MA;-1.458620;-45.086400
4201257;Apiúna;SC;-27.037500;-49.388500
2401008;Apodi;RN;-5.653490;-37.794600
2901908;Aporá;BA;-11.657700;-38.081400
5201504;Aporé;GO;-18.960700;-51.923200
2901957;Apuarema;BA;-13.854200;-39.750100
4101408;Apucarana;PR;-23.550000;-51.463500
1300144;Apuí;AM;-7.194090;-59.896000
2300903;Apuiarés;CE;-3.945060;-39.435900
