Codigo_IBGE;Municipio;UF;COBRADE;Data_Ocorrencia;Inicio_Analise_Climatica;Fim_Analise_Climatica;Dias_Lookback;Impacto_Financeiro_Total;Impacto_PEPR_Agricultura
5200050;Abadia de Goiás;GO;13214 - Tempestade Local/Convectiva - Chuvas Intensas;2019-03-13;2019-02-11;2019-03-13;30;0.00;0.00
5200050;Abadia de Goiás;GO;14131 - Incendio Florestal - Incendios em Parques, areas de Protecao Ambiental e areas de Preservacao Permanente Nacionais, Estaduais ou Municipais;2020-09-16;2020-08-17;2020-09-16;30;0.00;0.00
5200050;Abadia de Goiás;GO;14131 - Incendio Florestal - Incendios em Parques, areas de Protecao Ambiental e areas de Preservacao Permanente Nacionais, Estaduais ou Municipais;2021-09-09;2021-08-10;2021-09-09;30;0.00;0.00
3100104;Abadia dos Dourados;MG;13214 - Tempestade Local/Convectiva - Chuvas Intensas;2017-12-13;2017-11-13;2017-12-13;30;1033000.00;80000.00
5200100;Abadiânia;GO;13213 - Tempestade Local/Convectiva - Granizo;2017-10-03;2017-09-03;2017-10-03;30;0.00;0.00
5200100;Abadiânia;GO;13214 - Tempestade Local/Convectiva - Chuvas Intensas;2019-03-13;2019-02-11;2019-03-13;30;0.00;0.00
5200100;Abadiânia;GO;14131 - Incendio Florestal - Incendios em Parques, areas de Protecao Ambiental e areas de Preservacao Permanente Nacionais, Estaduais ou Municipais;2020-09-16;2020-08-17;2020-09-16;30;0.00;0.00
5200100;Abadiânia;GO;14131 - Incendio Florestal - Incendios em Parques, areas de Protecao Ambiental e areas de Preservacao Permanente Nacionais, Estaduais ou Municipais;2021-09-09;2021-08-10;2021-09-09;30;0.00;0.00
3100203;Abaeté;MG;12100 - Inundacoes;2022-01-06;2021-12-07;2022-01-06;30;0.00;0.00
3100203;Abaeté;MG;13214 - Tempestade Local/Convectiva - Chuvas Intensas;2022-01-06;2021-12-07;2022-01-06;30;0.00;0.00
3100203;Abaeté;MG;13215 - Tempestade Local/Convectiva - Vendaval;2023-09-18;2023-08-19;2023-09-18;30;0.00;0.00
1500107;Abaetetuba;PA;11321 - Deslizamentos;2023-06-07;2023-05-08;2023-06-07;30;0.00;0.00
1500107;Abaetetuba;PA;11321 - Deslizamentos;2023-02-26;2023-01-27;2023-02-26;30;2040000.00;0.00
